Name
Superior Bismuth Flask
Bubbling Hallowed Life Flask
"Vortex Vise
Serpentscale Gauntlets"
Quicksilver Flask of Heat
"Beast Lock
Rustic Sash"
"Chimeric Song
Karui Chopper"
Cautious Sanctified Life Flask of Craving
"Woe Hoof
Steelscale Boots"
Portal Scroll
"Hate Twirl
Coral Ring"
"Sorrow Twirl
Two-Stone Ring"
Alteration Shard
Scroll Fragment
Cartographer's Chisel
Chaos Orb
"Survival Instincts
Viridian Jewel"
Stone Hammer
Wool Shoes
"Kraken Glance
Gladiator Helmet"
Catalysed Sanctified Mana Flask of Staunching
"Agony Gorget
Jade Amulet"
Rusted Coif
Chain Belt
"Wrath Hide
Sun Plate"
Quicksilver Flask
"Thousand Ribbons Tempest Stinger•fwwrweMjölner
Thousand Ribbons Tempest Stinger•fwwrweMjölnerSimple Robe"
Crystal Ore Map
Rock Breaker
"Damnation Braid
Gold Amulet"
"Sundance
Clasped Boots"
Superior Ambush Mitts
"Chalice of Horrors
War Buckler"
Panicked Grand Mana Flask of Gluttony
"Malachai's Artifice
Unset Ring"
"Malachai's Artifice
Unset Ring"
"Malachai's Artifice
Unset Ring"
